ttop, rate
4192, 0.000000
4232, 0.000000
4272, 0.000000
4312, 0.000000
4352, 0.000000
4392, 0.000000
4432, 0.000000
4472, 0.000000
4512, 0.000000
4552, 0.000000
4592, 0.000000
4632, 0.000000
4672, 0.000000
4712, 0.000000
4752, 0.000000
4792, 0.000000
4832, 0.000000
4872, 0.000000
4912, 0.000000
4952, 0.000000
4992, 0.000000
5032, 0.000000
5072, 0.000000
5112, 0.000000
5152, 0.000000
5192, 0.000000
5232, 0.000000
5272, 0.000000
5312, 0.000000
5352, 0.000000
5392, 0.000000
5432, 0.000000
5472, 0.000000
5512, 0.000000
5552, 0.000000
5592, 0.000000
5632, 0.000000
5672, 0.000000
5712, 0.000000
5752, 0.000000
5792, 0.000000
5832, 0.000000
5872, 0.000000
5912, 0.000000
5952, 0.000000
5992, 0.000000
6032, 0.000000
6072, 0.000000
6112, 0.000000
6152, 0.000000
6192, 0.000000
6232, 0.000000
6272, 0.000000
6312, 0.000000
6352, 0.000000
6392, 0.000000
6432, 0.000000
6472, 0.000000
6512, 0.000000
6552, 0.000000
6592, 0.000000
6632, 0.000000
6672, 0.000000
6712, 0.000000
6752, 0.000000
6792, 0.000000
6832, 0.000000
6872, 0.000000
6912, 0.000000
6952, 0.000000
6992, 0.000000
7032, 0.000000
7072, 0.000000
7112, 0.000000
7152, 0.000000
7192, 0.000000
7232, 0.000000
7272, 0.000000
7312, 0.000000
7352, 0.000000
7392, 0.000000
7432, 0.000000
7472, 0.000000
7512, 0.000000
7552, 0.000000
7592, 0.000000
7632, 0.000000
7672, 0.000000
7712, 0.000000
7752, 0.000000
7792, 0.000000
7832, 0.000000
7872, 0.000000
7912, 0.000000
7952, 0.000000
7992, 0.000000
8032, 0.000000
8072, 0.000000
8112, 0.000000
8152, 0.000000
8192, 0.000000
8232, 0.000000
